VendorId,PUTime,DOTime,PassengerCount,TripDistance,RateCode,PULocationID,DOLocationID,PaymentType,FareAmount,TripTime
2,1/1/2017 10:42:02 AM,1/1/2017 11:00:56 AM,5,10.21,1,138,79,2,29,1134
2,1/1/2017 10:42:02 AM,1/1/2017 10:50:17 AM,1,2.03,1,246,211,1,9,495
2,1/1/2017 10:42:02 AM,1/1/2017 10:52:32 AM,1,3.58,1,238,186,1,12,630
1,1/1/2017 10:42:03 AM,1/1/2017 10:45:59 AM,1,0.9,1,239,238,2,5,236
2,1/1/2017 10:42:03 AM,1/1/2017 10:44:03 AM,6,0.58,1,141,237,2,4,120
2,1/1/2017 10:42:04 AM,1/1/2017 10:53:14 AM,1,2.38,1,237,100,1,10.5,670
2,1/1/2017 10:42:04 AM,1/1/2017 10:48:07 AM,1,1.46,1,42,166,2,7,363
1,1/1/2017 10:42:05 AM,1/1/2017 10:48:56 AM,1,1.4,1,168,42,2,7,411
1,1/1/2017 10:42:05 AM,1/1/2017 10:45:23 AM,2,0.8,1,249,246,2,5,198
2,1/1/2017 10:42:05 AM,1/1/2017 10:47:10 AM,1,0.96,1,263,262,2,6,305
2,1/1/2017 10:42:05 AM,1/1/2017 10:48:06 AM,1,1.86,1,4,137,1,7.5,361
1,1/1/2017 10:42:06 AM,1/1/2017 10:55:04 AM,1,2.5,1,262,162,1,12,778
2,1/1/2017 10:42:06 AM,1/1/2017 10:44:12 AM,1,0.33,1,166,166,2,3.5,126
1,1/1/2017 10:42:07 AM,1/1/2017 10:48:11 AM,2,0.9,1,170,186,2,6,364
1,1/1/2017 10:42:07 AM,1/1/2017 10:45:07 AM,1,0.6,1,137,162,2,4.5,180
1,1/1/2017 10:42:07 AM,1/1/2017 10:46:33 AM,2,1.2,1,237,142,1,6,266
1,1/1/2017 10:42:08 AM,1/1/2017 10:49:47 AM,1,2,1,229,236,1,8.5,459
1,1/1/2017 10:42:08 AM,1/1/2017 10:47:47 AM,1,1.2,1,79,234,1,6.5,339
1,1/1/2017 10:42:08 AM,1/1/2017 10:46:42 AM,1,0.7,1,263,75,1,5,274
2,1/1/2017 10:42:08 AM,1/1/2017 10:47:16 AM,1,0.92,1,75,75,2,5.5,308
2,1/1/2017 10:42:08 AM,1/1/2017 10:46:27 AM,1,1.08,1,143,239,1,5.5,259
2,1/1/2017 10:42:09 AM,1/1/2017 10:45:50 AM,1,0.85,1,170,186,1,4.5,221
2,1/1/2017 10:42:09 AM,1/1/2017 10:46:43 AM,1,0.78,1,90,68,2,5.5,274
2,1/1/2017 10:42:10 AM,1/1/2017 10:53:07 AM,2,7.32,1,138,28,1,21.5,657
2,1/1/2017 10:42:10 AM,1/1/2017 10:57:45 AM,1,5.01,1,48,261,2,17,935
1,1/1/2017 10:42:11 AM,1/1/2017 10:51:12 AM,1,1.9,1,186,142,1,9,541
2,1/1/2017 10:42:11 AM,1/1/2017 11:12:44 AM,1,18.84,2,151,132,2,52,1833
2,1/1/2017 10:42:11 AM,1/1/2017 10:46:00 AM,6,0.36,1,231,261,2,4.5,229
2,1/1/2017 10:42:11 AM,1/1/2017 10:51:24 AM,1,3.89,1,224,262,2,13,553
1,1/1/2017 10:42:12 AM,1/1/2017 10:46:52 AM,1,1.9,1,170,141,1,7.5,280
2,1/1/2017 10:42:12 AM,1/1/2017 10:56:51 AM,1,4.49,1,41,186,1,15.5,879
2,1/1/2017 10:42:12 AM,1/1/2017 10:47:13 AM,1,1.09,1,224,107,2,6,301
1,1/1/2017 10:42:14 AM,1/1/2017 10:53:47 AM,1,3.6,1,144,161,2,12.5,693
2,1/1/2017 10:42:14 AM,1/1/2017 10:52:16 AM,6,2.21,1,68,158,1,9.5,602
2,1/1/2017 10:42:14 AM,1/1/2017 10:46:17 AM,1,1.13,1,229,237,2,5.5,243
1,1/1/2017 10:42:15 AM,1/1/2017 10:45:53 AM,1,0.7,1,13,13,1,4.5,218
1,1/1/2017 10:42:16 AM,1/1/2017 10:45:31 AM,2,1.1,1,237,263,2,5.5,195
2,1/1/2017 10:42:16 AM,1/1/2017 10:46:50 AM,1,0.85,1,237,162,2,5.5,274
