VendorId,PUTime,DOTime,PassengerCount,TripDistance,RateCode,PULocationID,DOLocationID,PaymentType,FareAmount,TripTime
1,1/1/2017 12:33:36 PM,1/1/2017 12:36:47 PM,1,0.8,1,140,263,2,4.5,191
2,1/1/2017 12:33:36 PM,1/1/2017 12:54:54 PM,6,11.86,1,162,138,1,34,1278
2,1/1/2017 12:33:36 PM,1/1/2017 12:46:40 PM,2,3.33,1,186,239,2,13,784
2,1/1/2017 12:33:36 PM,1/1/2017 12:36:35 PM,1,0.7,1,238,239,1,4.5,179
1,1/1/2017 12:33:37 PM,1/1/2017 12:58:26 PM,1,17,2,162,132,1,52,1489
2,1/1/2017 12:33:37 PM,1/1/2017 12:45:03 PM,1,2.94,1,170,239,2,12,686
2,1/1/2017 12:33:37 PM,1/1/2017 12:46:58 PM,1,2.28,1,13,113,1,11,801
1,1/1/2017 12:33:38 PM,1/1/2017 12:43:16 PM,3,1.8,1,90,148,2,9,578
2,1/1/2017 12:33:38 PM,1/1/2017 12:44:42 PM,1,1.95,1,162,50,2,9.5,664
2,1/1/2017 12:33:38 PM,1/1/2017 12:51:41 PM,1,4.09,1,116,263,1,16,1083
2,1/1/2017 12:33:39 PM,1/1/2017 12:45:36 PM,1,1.65,1,137,161,2,9.5,717
1,1/1/2017 12:33:40 PM,1/1/2017 12:38:12 PM,1,1.7,1,264,264,1,7,272
2,1/1/2017 12:33:40 PM,1/1/2017 12:46:27 PM,1,2.83,1,43,234,2,11.5,767
2,1/1/2017 12:33:40 PM,1/1/2017 12:40:06 PM,1,1.31,1,43,236,2,7,386
2,1/1/2017 12:33:40 PM,1/1/2017 12:37:26 PM,1,0.55,1,231,144,2,4.5,226
2,1/1/2017 12:33:40 PM,1/1/2017 1:22:42 PM,5,11.32,1,163,35,2,40.5,2942
2,1/1/2017 12:33:40 PM,1/1/2017 12:39:46 PM,1,1.12,1,162,100,2,6,366
1,1/1/2017 12:33:41 PM,1/1/2017 12:45:28 PM,1,2.1,1,263,143,1,10,707
1,1/1/2017 12:33:41 PM,1/1/2017 12:43:59 PM,1,2,1,264,264,2,9.5,618
2,1/1/2017 12:33:41 PM,1/1/2017 12:43:55 PM,1,2.88,1,230,125,2,11,614
1,1/1/2017 12:33:42 PM,1/1/2017 12:39:01 PM,1,0.9,1,237,140,2,6,319
1,1/1/2017 12:33:42 PM,1/1/2017 12:37:34 PM,1,0.6,1,142,142,1,5,232
2,1/1/2017 12:33:42 PM,1/1/2017 12:39:49 PM,1,1.08,1,237,236,1,6.5,367
1,1/1/2017 12:33:43 PM,1/1/2017 12:35:26 PM,1,0,1,186,186,2,3,103
2,1/1/2017 12:33:43 PM,1/1/2017 12:41:23 PM,2,1.95,1,141,170,1,8.5,460
2,1/1/2017 12:33:43 PM,1/1/2017 12:40:40 PM,1,1.61,1,186,163,1,7.5,417
2,1/1/2017 12:33:43 PM,1/1/2017 12:43:09 PM,1,1.52,1,12,144,1,8.5,566
2,1/1/2017 12:33:43 PM,1/1/2017 12:52:41 PM,1,7.18,1,13,161,1,23.5,1138
2,1/1/2017 12:33:44 PM,1/1/2017 12:46:10 PM,1,3.3,1,161,148,1,12.5,746
2,1/1/2017 12:33:45 PM,1/1/2017 12:41:38 PM,1,1.82,1,43,142,2,8,473
2,1/1/2017 12:33:46 PM,1/1/2017 12:41:02 PM,1,1.24,1,141,161,1,7,436
2,1/1/2017 12:33:46 PM,1/1/2017 12:37:10 PM,1,0.71,1,224,224,2,4.5,204
2,1/1/2017 12:33:47 PM,1/1/2017 12:47:25 PM,5,0.65,1,164,230,2,9.5,818
2,1/1/2017 12:33:47 PM,1/1/2017 12:37:14 PM,6,0.89,1,141,263,1,5,207
2,1/1/2017 12:33:47 PM,1/1/2017 12:49:25 PM,1,3.53,1,146,100,2,14.5,938
1,1/1/2017 12:33:48 PM,1/1/2017 12:46:22 PM,2,2.1,1,43,230,1,10.5,754
1,1/1/2017 12:33:48 PM,1/1/2017 12:41:42 PM,1,1.8,1,237,239,2,8,474
1,1/1/2017 12:33:48 PM,1/1/2017 12:46:23 PM,1,1.4,1,246,164,1,9.5,755
1,1/1/2017 12:33:48 PM,1/1/2017 12:41:41 PM,1,2.6,1,137,262,1,9.5,473
2,1/1/2017 12:33:48 PM,1/1/2017 12:51:47 PM,5,8.55,1,236,138,1,26,1079
2,1/1/2017 12:33:48 PM,1/1/2017 12:48:12 PM,1,3.9,1,262,186,1,15,864
2,1/1/2017 12:33:48 PM,1/1/2017 12:44:11 PM,1,2.25,1,186,79,1,10,623
2,1/1/2017 12:33:48 PM,1/1/2017 12:37:56 PM,1,1.21,1,137,234,1,6,248
1,1/1/2017 12:33:49 PM,1/1/2017 12:41:13 PM,1,1.1,1,162,237,1,7,444
2,1/1/2017 12:33:49 PM,1/1/2017 12:39:40 PM,1,1.1,1,170,237,2,6,351
1,1/1/2017 12:33:50 PM,1/1/2017 12:55:13 PM,1,4.6,1,140,249,1,18,1283
1,1/1/2017 12:33:50 PM,1/1/2017 12:47:36 PM,1,3.6,1,211,80,2,14,826
1,1/1/2017 12:33:50 PM,1/1/2017 12:40:16 PM,1,1.2,1,264,264,2,6.5,386
2,1/1/2017 12:33:50 PM,1/1/2017 12:37:24 PM,2,0.62,1,163,142,2,4.5,214
2,1/1/2017 12:33:50 PM,1/1/2017 12:49:50 PM,3,3.1,1,261,144,2,13.5,960
2,1/1/2017 12:33:51 PM,1/1/2017 12:41:31 PM,1,0.96,1,48,170,2,7,460
2,1/1/2017 12:33:51 PM,1/1/2017 12:44:24 PM,1,3.18,1,74,229,2,11.5,633
2,1/1/2017 12:33:51 PM,1/1/2017 12:38:06 PM,5,1.56,1,233,141,1,6.5,255
1,1/1/2017 12:33:52 PM,1/1/2017 12:46:45 PM,4,1.8,1,229,50,2,10,773
1,1/1/2017 12:33:52 PM,1/1/2017 12:38:18 PM,1,0.8,1,236,263,1,5,266
1,1/1/2017 12:33:52 PM,1/1/2017 12:36:40 PM,1,0.5,1,229,162,2,4,168
2,1/1/2017 12:33:52 PM,1/1/2017 12:42:05 PM,1,1.35,1,238,143,2,7.5,493
2,1/1/2017 12:33:52 PM,1/1/2017 1:00:13 PM,1,19.22,2,132,114,1,52,1581
2,1/1/2017 12:33:52 PM,1/1/2017 12:40:57 PM,3,1.66,1,238,41,1,8,425
2,1/1/2017 12:33:53 PM,1/1/2017 12:38:53 PM,2,1.05,1,152,41,2,6,300
2,1/1/2017 12:33:53 PM,1/1/2017 12:41:36 PM,1,2.76,1,233,263,2,9.5,463
2,1/1/2017 12:33:53 PM,1/1/2017 1:04:30 PM,3,14.99,1,138,87,1,42.5,1837
2,1/1/2017 12:33:53 PM,1/1/2017 12:46:19 PM,1,5.19,1,262,232,1,17,746
1,1/1/2017 12:33:54 PM,1/1/2017 12:36:54 PM,1,0.7,1,211,249,2,4.5,180
2,1/1/2017 12:33:54 PM,1/1/2017 12:53:36 PM,1,5.01,1,238,107,1,19,1182
2,1/1/2017 12:33:54 PM,1/1/2017 12:40:41 PM,2,1.38,1,48,90,1,7,407
2,1/1/2017 12:33:54 PM,1/1/2017 12:38:09 PM,1,0.99,1,231,114,1,5.5,255
2,1/1/2017 12:33:55 PM,1/1/2017 1:02:44 PM,1,17.33,3,48,1,2,65,1729
2,1/1/2017 12:33:56 PM,1/1/2017 12:42:05 PM,2,2.02,1,137,79,1,8.5,489
1,1/1/2017 12:33:57 PM,1/1/2017 12:43:52 PM,2,2.5,1,161,239,2,10,595
